ID,bottleneck,timepoint,pfu,cfu
1,1-clone,t0,5.40E+04,
2,1-clone,t0,4.20E+04,
3,1-clone,t0,5.20E+04,
4,1-clone,t0,4.40E+04,
5,1-clone,t0,5.20E+04,
6,1-clone,t0,2.80E+04,
7,1-clone,t0,4.80E+04,
8,1-clone,t0,3.20E+04,
9,1-clone,t0,2.40E+04,
10,1-clone,t0,2.00E+04,
11,1-clone,t0,4.60E+04,
12,1-clone,t0,4.60E+04,
1,5-clone,t0,4.20E+04,
2,5-clone,t0,4.40E+04,
3,5-clone,t0,3.00E+04,
4,5-clone,t0,4.80E+04,
5,5-clone,t0,3.60E+04,
6,5-clone,t0,3.40E+04,
7,5-clone,t0,5.60E+04,
8,5-clone,t0,3.80E+04,
9,5-clone,t0,2.20E+04,
10,5-clone,t0,3.80E+04,
11,5-clone,t0,4.60E+04,
12,5-clone,t0,3.80E+04,
1,1-clone,t1,2.00E+10,
2,1-clone,t1,1.60E+10,
3,1-clone,t1,5.40E+10,
4,1-clone,t1,5.80E+09,
5,1-clone,t1,2.00E+10,
6,1-clone,t1,2.60E+11,
7,1-clone,t1,1.00E+10,
8,1-clone,t1,1.80E+10,
9,1-clone,t1,1.40E+10,
10,1-clone,t1,4.80E+09,
11,1-clone,t1,2.60E+10,
12,1-clone,t1,1.40E+10,
1,5-clone,t1,1.00E+12,
2,5-clone,t1,7.00E+11,
3,5-clone,t1,1.20E+10,
4,5-clone,t1,8.00E+09,
5,5-clone,t1,1.20E+10,
6,5-clone,t1,8.00E+09,
7,5-clone,t1,3.60E+11,
8,5-clone,t1,2.00E+10,
9,5-clone,t1,1.20E+10,
10,5-clone,t1,8.00E+09,
11,5-clone,t1,5.40E+11,
12,5-clone,t1,4.60E+10,
1,1-clone,t2,8.00E+04,
2,1-clone,t2,3.00E+05,
3,1-clone,t2,1.60E+08,
4,1-clone,t2,3.00E+05,
5,1-clone,t2,2.40E+06,
6,1-clone,t2,2.60E+05,
7,1-clone,t2,3.40E+09,
8,1-clone,t2,3.60E+09,
9,1-clone,t2,1.40E+08,
10,1-clone,t2,3.60E+06,
11,1-clone,t2,1.40E+07,
12,1-clone,t2,1.00E+05,
1,5-clone,t2,3.00E+04,
2,5-clone,t2,1.40E+06,
3,5-clone,t2,1.60E+06,
4,5-clone,t2,1.60E+06,
5,5-clone,t2,1.00E+06,
6,5-clone,t2,3.80E+06,
7,5-clone,t2,6.00E+05,
8,5-clone,t2,4.60E+05,
9,5-clone,t2,1.60E+06,
10,5-clone,t2,5.20E+06,
11,5-clone,t2,1.60E+05,
12,5-clone,t2,1.60E+05,
1,1-clone,t3,5.80E+09,
2,1-clone,t3,0.00E+00,
3,1-clone,t3,3.60E+09,
4,1-clone,t3,0.00E+00,
5,1-clone,t3,4.60E+10,
6,1-clone,t3,0.00E+00,
7,1-clone,t3,7.00E+08,
8,1-clone,t3,1.00E+12,
9,1-clone,t3,2.60E+10,
10,1-clone,t3,3.40E+09,
11,1-clone,t3,1.80E+10,
12,1-clone,t3,0.00E+00,
1,5-clone,t3,3.00E+07,
2,5-clone,t3,2.60E+09,
3,5-clone,t3,5.20E+11,
4,5-clone,t3,1.20E+12,
5,5-clone,t3,4.00E+02,
6,5-clone,t3,2.60E+10,
7,5-clone,t3,2.60E+05,
8,5-clone,t3,3.20E+06,
9,5-clone,t3,1.00E+03,
10,5-clone,t3,3.20E+09,
11,5-clone,t3,5.20E+07,
12,5-clone,t3,3.80E+07,
1,1-clone,t4,3.80E+08,
2,1-clone,t4,0.00E+00,
3,1-clone,t4,1.20E+09,
4,1-clone,t4,0.00E+00,
5,1-clone,t4,4.00E+09,
6,1-clone,t4,0.00E+00,
7,1-clone,t4,2.20E+05,
8,1-clone,t4,3.00E+09,
9,1-clone,t4,1.80E+09,
10,1-clone,t4,4.80E+11,
11,1-clone,t4,6.00E+07,
12,1-clone,t4,0.00E+00,
1,5-clone,t4,2.00E+10,
2,5-clone,t4,3.40E+08,
3,5-clone,t4,1.40E+06,
4,5-clone,t4,1.40E+06,
5,5-clone,t4,0.00E+00,
6,5-clone,t4,6.00E+06,
7,5-clone,t4,4.60E+08,
8,5-clone,t4,2.00E+02,
9,5-clone,t4,2.40E+03,
10,5-clone,t4,4.00E+09,
11,5-clone,t4,3.90E+08,
12,5-clone,t4,2.20E+10,
1,1-clone,t5,2.20E+10,
2,1-clone,t5,0.00E+00,
3,1-clone,t5,6.00E+10,
4,1-clone,t5,0.00E+00,
5,1-clone,t5,4.60E+09,
6,1-clone,t5,0.00E+00,
7,1-clone,t5,5.20E+10,
8,1-clone,t5,1.40E+10,
9,1-clone,t5,3.00E+10,
10,1-clone,t5,1.20E+10,
11,1-clone,t5,3.00E+10,
12,1-clone,t5,0.00E+00,
1,5-clone,t5,3.00E+06,
2,5-clone,t5,4.00E+06,
3,5-clone,t5,4.40E+08,
4,5-clone,t5,3.20E+02,
5,5-clone,t5,0.00E+00,
6,5-clone,t5,5.20E+07,
7,5-clone,t5,1.20E+07,
8,5-clone,t5,0.00E+00,
9,5-clone,t5,6.00E+09,
10,5-clone,t5,5.40E+04,
11,5-clone,t5,0.00E+00,
12,5-clone,t5,5.60E+06,
1,1-clone,t6,1.40E+07,
2,1-clone,t6,0.00E+00,
3,1-clone,t6,1.60E+06,
4,1-clone,t6,0.00E+00,
5,1-clone,t6,6.40E+09,
6,1-clone,t6,0.00E+00,
7,1-clone,t6,4.80E+08,
8,1-clone,t6,1.80E+10,
9,1-clone,t6,1.00E+10,
10,1-clone,t6,4.60E+09,
11,1-clone,t6,5.40E+05,
12,1-clone,t6,0.00E+00,
1,5-clone,t6,0.00E+00,
2,5-clone,t6,4.00E+04,
3,5-clone,t6,3.40E+04,
4,5-clone,t6,0.00E+00,
5,5-clone,t6,0.00E+00,
6,5-clone,t6,5.40E+06,
7,5-clone,t6,5.40E+06,
8,5-clone,t6,0.00E+00,
9,5-clone,t6,1.60E+07,
10,5-clone,t6,0.00E+00,
11,5-clone,t6,0.00E+00,
12,5-clone,t6,0.00E+00,
1,1-clone,t7,2.40E+10,
2,1-clone,t7,0.00E+00,
3,1-clone,t7,0.00E+00,
4,1-clone,t7,0.00E+00,
5,1-clone,t7,4.40E+09,
6,1-clone,t7,0.00E+00,
7,1-clone,t7,3.60E+04,
8,1-clone,t7,6.80E+07,
9,1-clone,t7,3.00E+09,
10,1-clone,t7,4.60E+09,
11,1-clone,t7,4.60E+10,
12,1-clone,t7,0.00E+00,
1,5-clone,t7,0.00E+00,
2,5-clone,t7,6.00E+08,
3,5-clone,t7,8.00E+06,
4,5-clone,t7,0.00E+00,
5,5-clone,t7,0.00E+00,
6,5-clone,t7,1.00E+07,
7,5-clone,t7,5.40E+08,
8,5-clone,t7,0.00E+00,
9,5-clone,t7,6.00E+02,
10,5-clone,t7,0.00E+00,
11,5-clone,t7,0.00E+00,
12,5-clone,t7,0.00E+00,
1,1-clone,t8,1.20E+09,
2,1-clone,t8,0.00E+00,
3,1-clone,t8,0.00E+00,
4,1-clone,t8,0.00E+00,
5,1-clone,t8,5.40E+04,
6,1-clone,t8,0.00E+00,
7,1-clone,t8,0.00E+00,
8,1-clone,t8,0.00E+00,
9,1-clone,t8,3.40E+04,
10,1-clone,t8,2.20E+04,
11,1-clone,t8,2.80E+10,
12,1-clone,t8,0.00E+00,
1,5-clone,t8,0.00E+00,
2,5-clone,t8,4.00E+04,
3,5-clone,t8,0.00E+00,
4,5-clone,t8,0.00E+00,
5,5-clone,t8,0.00E+00,
6,5-clone,t8,0.00E+00,
7,5-clone,t8,0.00E+00,
8,5-clone,t8,0.00E+00,
9,5-clone,t8,0.00E+00,
10,5-clone,t8,0.00E+00,
11,5-clone,t8,0.00E+00,
12,5-clone,t8,0.00E+00,
1,1-clone,t9,2.00E+03,
2,1-clone,t9,0.00E+00,
3,1-clone,t9,0.00E+00,
4,1-clone,t9,0.00E+00,
5,1-clone,t9,0.00E+00,
6,1-clone,t9,0.00E+00,
7,1-clone,t9,0.00E+00,
8,1-clone,t9,0.00E+00,
9,1-clone,t9,0.00E+00,
10,1-clone,t9,1.40E+05,
11,1-clone,t9,2.20E+05,
12,1-clone,t9,0.00E+00,
1,5-clone,t9,0.00E+00,
2,5-clone,t9,0.00E+00,
3,5-clone,t9,0.00E+00,
4,5-clone,t9,0.00E+00,
5,5-clone,t9,0.00E+00,
6,5-clone,t9,0.00E+00,
7,5-clone,t9,0.00E+00,
8,5-clone,t9,0.00E+00,
9,5-clone,t9,0.00E+00,
10,5-clone,t9,0.00E+00,
11,5-clone,t9,0.00E+00,
12,5-clone,t9,0.00E+00,
1,1-clone,t10,0.00E+00,
2,1-clone,t10,0.00E+00,
3,1-clone,t10,0.00E+00,
4,1-clone,t10,0.00E+00,
5,1-clone,t10,0.00E+00,
6,1-clone,t10,0.00E+00,
7,1-clone,t10,0.00E+00,
8,1-clone,t10,0.00E+00,
9,1-clone,t10,0.00E+00,
10,1-clone,t10,1.60E+09,
11,1-clone,t10,5.00E+05,
12,1-clone,t10,0.00E+00,
1,5-clone,t10,0.00E+00,
2,5-clone,t10,0.00E+00,
3,5-clone,t10,0.00E+00,
4,5-clone,t10,0.00E+00,
5,5-clone,t10,0.00E+00,
6,5-clone,t10,0.00E+00,
7,5-clone,t10,0.00E+00,
8,5-clone,t10,0.00E+00,
9,5-clone,t10,0.00E+00,
10,5-clone,t10,0.00E+00,
11,5-clone,t10,0.00E+00,
12,5-clone,t10,0.00E+00,
1,1-clone,t11,0.00E+00,
2,1-clone,t11,0.00E+00,
3,1-clone,t11,0.00E+00,
4,1-clone,t11,0.00E+00,
5,1-clone,t11,0.00E+00,
6,1-clone,t11,0.00E+00,
7,1-clone,t11,0.00E+00,
8,1-clone,t11,0.00E+00,
9,1-clone,t11,0.00E+00,
10,1-clone,t11,5.20E+09,
11,1-clone,t11,5.80E+09,
12,1-clone,t11,0.00E+00,
1,5-clone,t11,0.00E+00,
2,5-clone,t11,0.00E+00,
3,5-clone,t11,0.00E+00,
4,5-clone,t11,0.00E+00,
5,5-clone,t11,0.00E+00,
6,5-clone,t11,0.00E+00,
7,5-clone,t11,0.00E+00,
8,5-clone,t11,0.00E+00,
9,5-clone,t11,0.00E+00,
10,5-clone,t11,0.00E+00,
11,5-clone,t11,0.00E+00,
12,5-clone,t11,0.00E+00,
1,1-clone,t12,0.00E+00,
2,1-clone,t12,0.00E+00,
3,1-clone,t12,0.00E+00,
4,1-clone,t12,0.00E+00,
5,1-clone,t12,0.00E+00,
6,1-clone,t12,0.00E+00,
7,1-clone,t12,0.00E+00,
8,1-clone,t12,0.00E+00,
9,1-clone,t12,0.00E+00,
10,1-clone,t12,2.70E+07,
11,1-clone,t12,4.40E+09,
12,1-clone,t12,0.00E+00,
1,5-clone,t12,0.00E+00,
2,5-clone,t12,0.00E+00,
3,5-clone,t12,0.00E+00,
4,5-clone,t12,0.00E+00,
5,5-clone,t12,0.00E+00,
6,5-clone,t12,0.00E+00,
7,5-clone,t12,0.00E+00,
8,5-clone,t12,0.00E+00,
9,5-clone,t12,0.00E+00,
10,5-clone,t12,0.00E+00,
11,5-clone,t12,0.00E+00,
12,5-clone,t12,0.00E+00,
1,1-clone,t13,0.00E+00,
2,1-clone,t13,0.00E+00,
3,1-clone,t13,0.00E+00,
4,1-clone,t13,0.00E+00,
5,1-clone,t13,0.00E+00,
6,1-clone,t13,0.00E+00,
7,1-clone,t13,0.00E+00,
8,1-clone,t13,0.00E+00,
9,1-clone,t13,0.00E+00,
10,1-clone,t13,5.20E+05,
11,1-clone,t13,3.20E+03,
12,1-clone,t13,0.00E+00,
1,5-clone,t13,0.00E+00,
2,5-clone,t13,0.00E+00,
3,5-clone,t13,0.00E+00,
4,5-clone,t13,0.00E+00,
5,5-clone,t13,0.00E+00,
6,5-clone,t13,0.00E+00,
7,5-clone,t13,0.00E+00,
8,5-clone,t13,0.00E+00,
9,5-clone,t13,0.00E+00,
10,5-clone,t13,0.00E+00,
11,5-clone,t13,0.00E+00,
12,5-clone,t13,0.00E+00,
1,1-clone,t14,0.00E+00,
2,1-clone,t14,0.00E+00,
3,1-clone,t14,0.00E+00,
4,1-clone,t14,0.00E+00,
5,1-clone,t14,0.00E+00,
6,1-clone,t14,0.00E+00,
7,1-clone,t14,0.00E+00,
8,1-clone,t14,0.00E+00,
9,1-clone,t14,0.00E+00,
10,1-clone,t14,3.40E+08,
11,1-clone,t14,0.00E+00,
12,1-clone,t14,0.00E+00,
1,5-clone,t14,0.00E+00,
2,5-clone,t14,0.00E+00,
3,5-clone,t14,0.00E+00,
4,5-clone,t14,0.00E+00,
5,5-clone,t14,0.00E+00,
6,5-clone,t14,0.00E+00,
7,5-clone,t14,0.00E+00,
8,5-clone,t14,0.00E+00,
9,5-clone,t14,0.00E+00,
10,5-clone,t14,0.00E+00,
11,5-clone,t14,0.00E+00,
12,5-clone,t14,0.00E+00,
1,1-clone,t15,,
2,1-clone,t15,,
3,1-clone,t15,,
4,1-clone,t15,,
5,1-clone,t15,,
6,1-clone,t15,,
7,1-clone,t15,,
8,1-clone,t15,,
9,1-clone,t15,,
10,1-clone,t15,,
11,1-clone,t15,,
12,1-clone,t15,,
1,5-clone,t15,,
2,5-clone,t15,,
3,5-clone,t15,,
4,5-clone,t15,,
5,5-clone,t15,,
6,5-clone,t15,,
7,5-clone,t15,,
8,5-clone,t15,,
9,5-clone,t15,,
10,5-clone,t15,,
11,5-clone,t15,,
12,5-clone,t15,,
1,1-clone,t16,,
2,1-clone,t16,,
3,1-clone,t16,,
4,1-clone,t16,,
5,1-clone,t16,,
6,1-clone,t16,,
7,1-clone,t16,,
8,1-clone,t16,,
9,1-clone,t16,,
10,1-clone,t16,,
11,1-clone,t16,,
12,1-clone,t16,,
1,5-clone,t16,,
2,5-clone,t16,,
3,5-clone,t16,,
4,5-clone,t16,,
5,5-clone,t16,,
6,5-clone,t16,,
7,5-clone,t16,,
8,5-clone,t16,,
9,5-clone,t16,,
10,5-clone,t16,,
11,5-clone,t16,,
12,5-clone,t16,,
1,1-clone,t17,,
2,1-clone,t17,,
3,1-clone,t17,,
4,1-clone,t17,,
5,1-clone,t17,,
6,1-clone,t17,,
7,1-clone,t17,,
8,1-clone,t17,,
9,1-clone,t17,,
10,1-clone,t17,,
11,1-clone,t17,,
12,1-clone,t17,,
1,5-clone,t17,,
2,5-clone,t17,,
3,5-clone,t17,,
4,5-clone,t17,,
5,5-clone,t17,,
6,5-clone,t17,,
7,5-clone,t17,,
8,5-clone,t17,,
9,5-clone,t17,,
10,5-clone,t17,,
11,5-clone,t17,,
12,5-clone,t17,,
1,1-clone,t18,,
2,1-clone,t18,,
3,1-clone,t18,,
4,1-clone,t18,,
5,1-clone,t18,,
6,1-clone,t18,,
7,1-clone,t18,,
8,1-clone,t18,,
9,1-clone,t18,,
10,1-clone,t18,,
11,1-clone,t18,,
12,1-clone,t18,,
1,5-clone,t18,,
2,5-clone,t18,,
3,5-clone,t18,,
4,5-clone,t18,,
5,5-clone,t18,,
6,5-clone,t18,,
7,5-clone,t18,,
8,5-clone,t18,,
9,5-clone,t18,,
10,5-clone,t18,,
11,5-clone,t18,,
12,5-clone,t18,,
1,1-clone,t19,,
2,1-clone,t19,,
3,1-clone,t19,,
4,1-clone,t19,,
5,1-clone,t19,,
6,1-clone,t19,,
7,1-clone,t19,,
8,1-clone,t19,,
9,1-clone,t19,,
10,1-clone,t19,,
11,1-clone,t19,,
12,1-clone,t19,,
1,5-clone,t19,,
2,5-clone,t19,,
3,5-clone,t19,,
4,5-clone,t19,,
5,5-clone,t19,,
6,5-clone,t19,,
7,5-clone,t19,,
8,5-clone,t19,,
9,5-clone,t19,,
10,5-clone,t19,,
11,5-clone,t19,,
12,5-clone,t19,,
1,1-clone,t20,,
2,1-clone,t20,,
3,1-clone,t20,,
4,1-clone,t20,,
5,1-clone,t20,,
6,1-clone,t20,,
7,1-clone,t20,,
8,1-clone,t20,,
9,1-clone,t20,,
10,1-clone,t20,,
11,1-clone,t20,,
12,1-clone,t20,,
1,5-clone,t20,,
2,5-clone,t20,,
3,5-clone,t20,,
4,5-clone,t20,,
5,5-clone,t20,,
6,5-clone,t20,,
7,5-clone,t20,,
8,5-clone,t20,,
9,5-clone,t20,,
10,5-clone,t20,,
11,5-clone,t20,,
12,5-clone,t20,,
