ID,bottleneck,timepoint,pfu,cfu,raw,dilution,treatment
1,2,t0,1.10E+04,1.50E+06,50,3.00E+04,exp
2,2,t0,9.00E+03,1.29E+06,43,3.00E+04,exp
3,2,t0,8.00E+03,1.20E+06,40,3.00E+04,exp
4,2,t0,1.20E+04,1.50E+06,50,3.00E+04,exp
5,2,t0,1.60E+04,1.89E+06,63,3.00E+04,exp
6,2,t0,2.60E+04,1.89E+06,63,3.00E+04,exp
1,2,t1,1.00E+12,1.74E+06,58,3.00E+04,exp
2,2,t1,2.00E+10,1.02E+06,34,3.00E+04,exp
3,2,t1,1.80E+10,1.50E+05,5,3.00E+04,exp
4,2,t1,2.20E+10,3.47E+05,1156,3.00E+02,exp
5,2,t1,2.00E+10,2.10E+05,7,3.00E+04,exp
6,2,t1,1.80E+11,2.34E+06,78,3.00E+04,exp
1,2,t2,4.40E+08,9.84E+06,328,3.00E+04,exp
2,2,t2,4.40E+08,2.58E+06,86,3.00E+04,exp
3,2,t2,3.00E+08,7.20E+05,24,3.00E+04,exp
4,2,t2,5.20E+06,3.18E+07,1060,3.00E+04,exp
5,2,t2,5.00E+07,2.12E+07,708,3.00E+04,exp
6,2,t2,5.60E+08,3.12E+06,104,3.00E+04,exp
1,2,t3,3.20E+04,7.70E+08,15,60000000,exp
2,2,t3,8.00E+04,4.70E+08,23,60000000,exp
3,2,t3,1.20E+04,6.20E+08,13,60000000,exp
4,2,t3,2.00E+03,5.10E+08,9,60000000,exp
5,2,t3,1.00E+04,3.10E+08,16,60000000,exp
6,2,t3,1.00E+05,3.00E+08,15,60000000,exp
1,2,t4,0.00E+00,9.00E+08,,,exp
2,2,t4,0.00E+00,8.00E+08,,,exp
3,2,t4,0.00E+00,4.00E+08,,,exp
4,2,t4,0.00E+00,7.00E+08,,,exp
5,2,t4,0.00E+00,9.20E+08,,,exp
6,2,t4,0.00E+00,6.00E+08,,,exp
1,2,t5,0,8.88E+08,,,exp
2,2,t5,0,1.37E+09,,,exp
3,2,t5,0,7.68E+08,,,exp
4,2,t5,0,5.28E+08,,,exp
5,2,t5,0,9.48E+08,,,exp
6,2,t5,0,8.88E+08,,,exp
